id,time,x1,y1,z1,,,,,,,x2,y2,z2,,,,,,,x3,y3,z3,,,,,,,x4,y4,z4,,,,,,
34,0.283333,-0.844106,1.643116,-2.335827,-0.761016,1.585793,-2.378134,1.560334,1.785224,-1.894875,-1.236224,1.648153,-1.049022,-1.310581,1.58411,-1.049835,1.063979,0.879372,-0.414338,1.042925,0.954496,-0.388654,1.015282,0.815877,-0.341494,1.572909,1.706201,-1.905841,1.512854,1.783752,-1.762179,-0.922055,1.571947,-2.456088,-1.264475,1.520412,-0.945828
35,0.291667,-0.842433,1.643714,-2.336893,-0.758782,1.586602,-2.378635,1.561612,1.786125,-1.897696,-1.234193,1.648203,-1.048479,-1.30871,1.58429,-1.049653,1.025478,0.864766,-0.41457,1.009833,0.94137,-0.389364,0.976802,0.805166,-0.338361,1.573783,1.707122,-1.908894,1.514318,1.78466,-1.764978,-0.918221,1.572591,-2.45694,-1.263135,1.521028,-0.945105
36,0.3,-0.84034,1.643844,-2.337837,-0.75624,1.58745,-2.378946,1.562613,1.787206,-1.900556,-1.232267,1.648289,-1.047872,-1.306821,1.584474,-1.049441,0.98623,0.852238,-0.414369,0.976213,0.929893,-0.389664,0.938115,0.79656,-0.334693,1.574525,1.707982,-1.912038,1.51564,1.785451,-1.767749,-0.916494,1.572192,-2.458261,-1.261935,1.521051,-0.94473
37,0.308333,-0.83793,1.644908,-2.338774,-0.753573,1.588075,-2.379455,1.56354,1.788222,-1.903326,-1.230359,1.648374,-1.047285,-1.305028,1.58473,-1.04915,0.946607,0.84147,-0.413484,0.942199,0.920014,-0.3896,0.899782,0.789752,-0.330657,1.575053,1.709024,-1.915123,1.516785,1.786351,-1.770515,-0.912676,1.572433,-2.459344,-1.260695,1.521118,-0.944369
38,0.316667,-0.834895,1.645662,-2.339656,-0.750469,1.588883,-2.379829,1.564305,1.789146,-1.906373,-1.228627,1.648552,-1.046696,-1.303405,1.584997,-1.049004,0.907673,0.833243,-0.412085,0.908164,0.912175,-0.389117,0.862209,0.785116,-0.326068,1.575644,1.709958,-1.918217,1.517943,1.787219,-1.773378,-0.909264,1.572973,-2.460878,-1.259457,1.521183,-0.944024
39,0.325,-0.83197,1.646333,-2.340572,-0.747214,1.589615,-2.380318,1.564949,1.790077,-1.909373,-1.226869,1.648809,-1.046031,-1.301728,1.585364,-1.04878,0.868566,0.827011,-0.410046,0.874136,0.906099,-0.388294,0.825512,0.782103,-0.321291,1.576065,1.710831,-1.921395,1.518984,1.78807,-1.776233,-0.905047,1.572935,-2.461425,-1.258326,1.521256,-0.943771
40,0.333333,-0.828675,1.646984,-2.341555,-0.743639,1.590365,-2.380772,1.565486,1.791154,-1.912451,-1.225275,1.649079,-1.04541,-1.300194,1.58564,-1.048603,0.830574,0.823005,-0.407782,0.840407,0.902033,-0.387314,0.789869,0.780843,-0.316671,1.576319,1.7118,-1.92457,1.520071,1.78901,-1.779131,-0.900655,1.57403,-2.462416,-1.257247,1.520405,-0.944199
41,0.341667,-0.82497,1.647682,-2.342518,-0.739706,1.591167,-2.381194,1.566106,1.791985,-1.915408,-1.22377,1.649331,-1.044942,-1.298795,1.585992,-1.04844,0.793038,0.820837,-0.405539,0.807012,0.900345,-0.386465,0.755324,0.781233,-0.312199,1.576583,1.712797,-1.927695,1.521254,1.789962,-1.781903,-0.896994,1.573623,-2.4635,-1.256248,1.521055,-0.943624
42,0.35,-0.821084,1.648426,-2.34344,-0.735602,1.591762,-2.381501,1.566752,1.792937,-1.918339,-1.222213,1.649532,-1.044415,-1.297346,1.586401,-1.048261,0.756608,0.821394,-0.403205,0.773205,0.900205,-0.385268,0.721753,0.782883,-0.308093,1.576757,1.713683,-1.930784,1.522489,1.790982,-1.784598,-0.892812,1.574339,-2.464377,-1.255307,1.521229,-0.94346
43,0.358333,-0.81692,1.648973,-2.344319,-0.731196,1.592098,-2.381855,1.567323,1.79381,-1.921244,-1.221067,1.64989,-1.044147,-1.296133,1.586738,-1.048186,0.720345,0.824016,-0.40123,0.740388,0.902063,-0.383643,0.688917,0.786234,-0.304546,1.576828,1.714482,-1.933855,1.523765,1.791768,-1.787239,-0.887895,1.574044,-2.46517,-1.254389,1.521066,-0.943564
